Observation Name,High-gain pass DSS Sta. ,Ownr,Date,DOY,"Strt, UT", Dur,"End, UT",Pr'ty,Bits/ pixel,# imgs,Filters,Est.  comp.,Mbits,P/B (hrs @17.6 kb/s),week,Description,Status
,,,24-Mar,83,13:30,2:45,16:15,,,,,,,,,,
,,,26-Mar,85,13:30,3:35,17:05,,,,,,,,,,
NIS Caltarget N4,,NIS,29-Mar,88,21:30,0:32,22:02,,12,50,,,0.06,0.0,99074,NIS_Caltarg_N4: Standard Cruise CalTarget,done
,,,07-Apr,97,13:30,3:00,16:30,,,,,,,,,,
,,,09-Apr,99,13:30,3:55,17:25,,,,,,,,,,
,,,12-Apr,102,13:30,3:05,16:35,,,,,,,,,,
Dark Current,,MSI,13-Apr,103,4:00,0:10,4:10,,12,2,7,2.5,1.24,0.0,99102,MSI_Dark_1: 2 darks (filter 7; 10 msec and 999 msec),done
Star Cluster Calibration 1,,MSI,13-Apr,103,5:00,0:20,5:20,,12,5,0,2.5,3.10,0.1,99102,MSI_Starcal_1: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Canopus Calibration 1  part 1,,MSI,13-Apr,103,6:30,0:40,7:10,,12,128,0-7,2.5,79.35,1.4,99102,"MSI_Cancal_1a: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7; man exp)",done
Mono Light Curve Seq 5,,MSI,14-Apr,104,5:45,5:58,11:43,,12,79,0,2.5,48.97,0.9,99102,MSI_Lightcrv_5:1 clr filter image every 5 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
,,,14-Apr,104,13:30,3:00,16:30,,,,,,,,,,
Canopus Calibration 1  part 2,,MSI,15-Apr,105,10:15,0:20,10:35,,12,64,"1,2,3,6",2.5,39.68,0.7,99102,"MSI_Cancal_1b: 16 images slewing across 2 pixels with Canopus, repeat (filters 1,2,3,6; man exp)",done
,,,16-Apr,106,13:30,3:05,16:35,,,,,,,,,,
NIS Caltarget N5,,NIS,19-Apr,109,21:30,0:32,22:02,,12,50,,,0.06,0.0,99102,NIS_Caltarg_N5: Standard Cruise CalTarget,done
,,,21-Apr,111,13:30,4:00,17:30,,,,,,,,,,
,,,22-Apr,112,13:30,3:15,16:45,,,,,,,,,,
,,,30-Apr,120,13:30,3:05,16:35,,,,,,,,,,
,,,10-May,130,23:20,4:00,3:20,,,,,,,,,,
,,,12-May,132,13:30,7:00,20:30,,,,,,,,,,
Star Cluster Calibration 2,,MSI,12-May,132,6:30,0:20,6:50,,12,5,0,2.5,3.10,0.1,99130,MSI_Starcal_2: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Canopus Calibration 1  part 3,,MSI,13-May,133,5:30,0:20,5:50,,12,48,"0,7,6",2.5,29.76,0.5,99130,"MSI_Cancal_1c: 16 images slewing across 2 pixels with Canopus, repeat (filters 0,7,6; man exp)",done
,,,14-May,134,14:30,7:00,21:30,,,,,,,,,,
,,,17-May,137,14:30,7:00,21:30,,,,,,,,,,
,,,18-May,138,20:30,4:00,0:30,,,,,,,,,,
,,,19-May,139,13:30,7:00,20:30,,,,,,,,,,
,,,21-May,141,13:30,7:00,20:30,,,,,,,,,,
,,,24-May,144,13:20,7:00,20:20,,,,,,,,,,
,,,26-May,146,13:30,7:00,20:30,,,,,,,,,,
,,,28-May,148,13:30,7:00,20:30,,,,,,,,,,
,,,28-May,149,0:25,4:00,4:25,,,,,,,,,,
,,,31-May,151,13:30,7:00,20:30,,,,,,,,,,
,,,01-Jun,153,12:10,7:00,19:10,,,,,,,,,,
Canopus Calibration 2  part 1,,MSI,03-Jun,154,5:30,0:20,5:50,,12,64,"1,3,4,6",2.5,39.68,0.7,99151,"MSI_Cancal_2a: 16 images slewing across 2 pixels with Canopus, repeat (filters 1,3,4,6; man exp)",done
,,,03-Jun,154,20:35,4:00,0:35,,,,,,,,,,
,,,04-Jun,155,13:30,7:00,20:30,,,,,,,,,,
,,,07-Jun,158,13:30,7:00,20:30,,,,,,,,,,
,,,08-Jun,159,22:20,4:00,2:20,,,,,,,,,,
,,,09-Jun,160,13:30,7:00,20:30,,,,,,,,,,
,,,11-Jun,162,13:30,7:00,20:30,,,,,,,,,,
,,,14-Jun,165,12:30,6:30,19:00,,,,,,,,,,
,,,15-Jun,166,12:20,4:25,16:45,,,,,,,,,,
Star Cluster Calibration 3,,MSI,15-Jun,166,1:00,0:20,1:20,,12,5,0,2.5,3.10,0.1,99165,MSI_Starcal_3: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Canopus Calibration 2  part 2,,MSI,15-Jun,166,2:00,0:20,2:20,,12,128,0-7,2.5,79.35,1.4,99165,"MSI_Cancal_2b: 16 images slewing across 2 pixels with Canopus, repeat (filters 0-7; man exp)",done
Multispectral Light Curve C1,,MSI,15-Jun,166,3:00,5:58,8:58,,12,123,0,4,47.66,0.8,99165,MSI_MSLtCv_C1:3 filters every 5 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
,,,15-Jun,166,0:15,4:00,4:15,,,,,,,,,,
,,,16-Jun,167,13:30,7:00,20:30,,,,,,,,,,
,,,18-Jun,169,13:00,7:00,20:00,,,,,,,,,,
,,,18-Jun,169,20:40,5:00,1:40,,,,,,,,,,
,,,21-Jun,172,13:30,7:00,20:30,,,,,,,,,,
,,,22-Jun,173,21:30,4:00,1:30,,,,,,,,,,
,,,23-Jun,174,13:20,7:00,20:20,,,,,,,,,,
,,,24-Jun,175,12:30,4:40,17:10,,,,,,,,,,
,,,25-Jun,176,17:55,3:35,21:30,,,,,,,,,,
,,,28-Jun,179,13:30,7:00,20:30,,,,,,,,,,
,,,29-Jun,180,23:00,4:00,3:00,,,,,,,,,,
Upload Test,,MSI,30-Jun,181,3:00,1:00,4:00,,8 & 12,69,0,2.5,42.77,0.7,99179,MSI_UpTst: Test old and new fixes,done
,,,30-Jun,181,13:00,7:00,20:00,,,,,,,,,,
,,,02-Jul,183,13:30,7:00,20:30,,,,,,,,,,
,,,05-Jul,186,12:05,7:00,19:05,,,,,,,,,,
"Canopus Calibration 3, part 1",,MSI,16-Jul,197,15:20,0:20,15:40,,12,128,0-7,2.5,79.35,1.4,99193,"MSI_CanCal_3a: 16 images slewing across 2 pixels with Canopusat center, repeat (filters 0-7); 2 diagonal scans, 7 filter seq of Canopus",done
"Canopus Calibration 3, part 2",,MSI,16-Jul,197,16:30,0:20,16:50,,12,128,0-7,2.5,79.35,1.4,99193,"MSI_CanCal_3b: 16 images slewing across 2 pixels with Canopus at lower right of frame, repeat (filters 0-7); 2 diagonal scans, 7 filter seq of Canopus",done
Star Cluster Calibration 4,,MSI,16-Jul,197,18:00,0:20,18:20,,12,5,0,2.5,3.10,0.1,99193,MSI_Starcal_4: 2x2 and 1x1 centered star cluster (filter 0; 999 msec),done
Multispectral Light Curve C2,,MSI,16-Jul,197,19:00,5:58,0:58,,12,303,0,4,117.40,2.1,99193,MSI_MSLtCv_C2:3 filters every 5 deg of rotation for 1.1 Eros rot.  Man exp 999 ms.,done
NIS Dark c1,,NIS,16-Jul,197,19:00,5:58,0:58,,,22800,,,26.12,0.4,99193,NIS_Dark_c1:2 300 s darks (gain 1 and 10); 6 hr dark; 2 300 s darks,done
NIS Caltarget N6,,NIS,17-Jul,198,2:00,0:32,2:32,,,100,,,0.11,0.0,99193,NIS_Caltarg_N6: Standard Cruise CalTarget,done
NIS MAG Roll,,MAG,17-Jul,198,3:30,1:20,4:50,,,3900,,,10.00,0.2,99193,NIS_MAG_ROLL: support of MAG calibration; 3900 s dark,done
,,,17-Jul,198,4:35,7:00,11:35,,,,,,315.43,5.5,,,
,63,,17-Jul,198,5:35,8:00,13:35,,,,,,,,,,
,,,17-Jul,198,11:15,3:20,14:35,,,,,,,,,,
,,,19-Jul,200,12:00,6:55,18:55,,,,,,,,,,
,,,20-Jul,201,21:00,4:00,1:00,,,,,,,,,,
,,,21-Jul,202,12:20,8:00,20:20,,,,,,,,,,
,,,22-Jul,203,11:30,6:55,18:25,,,,,,,,,,
,,,26-Jul,207,11:45,7:00,18:45,,,,,,,,,,
,,,27-Jul,208,21:30,3:30,1:00,,,,,,,,,,
,,,28-Jul,209,13:30,7:00,20:30,,,,,,,,,,
,,,31-Jul,212,13:00,7:00,20:00,,,,,,,,,,
,,,02-Aug,214,11:30,7:15,18:45,,,,,,,,,,
,,,04-Aug,216,12:45,7:00,19:45,,,,,,,,,,
,,,04-Aug,216,22:45,5:35,4:20,,,,,,,,,,
,,,06-Aug,218,12:15,8:45,21:00,,,,,,,,,,
,,,06-Aug,218,20:30,4:00,0:30,,,,,,,,,,
,,,09-Aug,221,12:30,7:00,19:30,,,,,,,,,,
,,,11-Aug,223,13:30,6:45,20:15,,,,,,,,,,
,,,11-Aug,223,20:30,3:50,0:20,,,,,,,,,,
,,,12-Aug,224,15:30,6:15,21:45,,,,,,,,,,
,,,13-Aug,225,11:50,8:40,20:30,,,,,,,,,,
,,,16-Aug,228,12:30,6:50,19:20,,,,,,,,,,
,,,18-Aug,230,13:00,7:00,20:00,,,,,,,,,,
,,,19-Aug,231,22:30,3:00,1:30,,,,,,,,,,
,,,20-Aug,232,13:30,2:00,15:30,,,,,,,,,,
,,,20-Aug,232,15:35,4:55,20:30,,,,,,,,,,
,,,23-Aug,236,11:50,7:00,18:50,,,,,,,,,,
,,,25-Aug,238,14:10,8:00,22:10,,,,,,,,,,
,,,27-Aug,240,12:35,3:00,15:35,,,,,,,,,,
,,,27-Aug,240,15:10,3:35,18:45,,,,,,,,,,
,,,28-Aug,241,23:45,4:00,3:45,,,,,,,,,,
,,,30-Aug,243,12:30,4:10,16:40,,,,,,,,,,
,,,30-Aug,243,16:30,4:00,20:30,,,,,,,,,,
,,,30-Aug,243,23:35,4:00,3:35,,,,,,,,,,
,,,01-Sep,244,13:30,3:30,17:00,,,,,,,,,,
,,,01-Sep,244,16:40,3:50,20:30,,,,,,,,,,
,,,03-Sep,246,14:40,5:50,20:30,,,,,,,,,,
,,,06-Sep,249,11:40,6:55,18:35,,,,,,,,,,
,,,08-Sep,251,13:30,3:10,16:40,,,,,,,,,,
,,,08-Sep,251,16:25,4:05,20:30,,,,,,,,,,
,,,08-Sep,251,23:10,4:00,3:10,,,,,,,,,,
,,,10-Sep,253,13:30,3:05,16:35,,,,,,,,,,
,,,10-Sep,253,16:15,4:15,20:30,,,,,,,,,,
,,,13-Sep,256,12:30,7:00,19:30,,,,,,,,,,
NLR MSI alignment test,,NLR,14-Sep,257,23:35,0:05,23:40,,12,12,7,2.5,7.44,0.1,99256,"MSI_NLR_align_test: 4 images taken 1 sec apart in 3 sets. Timed to occur before, during and after 2 8 hz bursts.",done
,,,14-Sep,257,19:50,9:05,4:55,,,,,,,,,,
,,,15-Sep,258,13:30,7:00,20:30,,,,,,,,,,
,,,17-Sep,260,13:35,7:00,20:35,,,,,,,,,,
,,,20-Sep,263,12:45,6:30,19:15,,,,,,,,,,
,,,20-Sep,263,20:00,4:00,0:00,,,,,,,,,,
,,,25-Sep,268,13:30,6:45,20:15,,,,,,,,,,
,,,23-Sep,266,12:45,6:20,19:05,,,,,,,,,,
,,,27-Sep,270,13:15,5:50,19:05,,,,,,,,,,
,,,28-Sep,271,22:45,4:45,3:30,,,,,,,,,,
,,,29-Sep,272,13:30,7:00,20:30,,,,,,,,,,
,,,01-Oct,274,13:00,2:55,15:55,,,,,,,,,,
,,,01-Oct,274,15:35,3:30,19:05,,,,,,,,,,
,,,04-Oct,277,12:30,8:00,20:30,,,,,,,,,,
,,,06-Oct,279,13:10,7:45,20:55,,,,,,,,,,
,,,08-Oct,281,13:15,5:45,19:00,,,,,,,,,,
,,,08-Oct,281,22:30,4:00,2:30,,,,,,,,,,
,,,11-Oct,284,13:30,7:00,20:30,,,,,,,,,,
,,,12-Oct,285,18:55,4:00,22:55,,,,,,,,,,
,,,13-Oct,286,13:30,7:00,20:30,,,,,,,,,,
,,,15-Oct,288,13:00,2:25,15:25,,,,,,,,,,
,,,15-Oct,288,15:00,4:00,19:00,,,,,,,,,,
,,,18-Oct,291,13:30,4:55,18:25,,,,,,,,,,
,,,18-Oct,291,18:45,2:00,20:45,,,,,,,,,,
,,,19-Oct,292,4:45,4:15,9:00,,,,,,,,,,
,,,20-Oct,293,13:30,5:40,19:10,,,,,,,,,,
,,,20-Oct,293,18:35,2:10,20:45,,,,,,,,,,
,,,22-Oct,295,13:30,5:40,19:10,,,,,,,,,,
,,,22-Oct,295,18:35,1:55,20:30,,,,,,,,,,
,,,25-Oct,298,11:05,3:55,15:00,,,,,,,,,,
,,,25-Oct,298,14:40,3:25,18:05,,,,,,,,,,
,,,27-Oct,300,13:30,5:15,18:45,,,,,,,,,,
,,,27-Oct,300,18:25,4:45,23:10,,,,,,,,,,
,,,29-Oct,302,13:30,4:40,18:10,,,,,,,,,,
,,,29-Oct,302,18:10,2:20,20:30,,,,,,,,,,
,,,01-Nov,305,13:30,5:15,18:45,,,,,,,,,,
,,,03-Nov,307,13:30,5:10,18:40,,,,,,,,,,
,,,03-Nov,307,18:30,2:00,20:30,,,,,,,,,,
,,,05-Nov,309,12:30,5:10,17:40,,,,,,,,,,
,,,06-Nov,310,18:55,4:00,22:55,,,,,,,,,,
,,,08-Nov,312,13:30,5:30,19:00,,,,,,,,,,
,,,10-Nov,314,13:30,4:15,17:45,,,,,,,,,,
,,,10-Nov,314,18:30,2:00,20:30,,,,,,,,,,
,,,12-Nov,316,13:30,4:40,18:10,,,,,,,,,,
,,,12-Nov,316,18:10,4:05,22:15,,,,,,,,,,
,,,14-Nov,318,7:00,4:00,11:00,,,,,,,,,,
,,,15-Nov,319,13:45,4:15,18:00,,,,,,,,,,
,,,15-Nov,319,17:50,2:40,20:30,,,,,,,,,,
,,,17-Nov,321,12:45,5:25,18:10,,,,,,,,,,
,,,17-Nov,321,17:50,2:40,20:30,,,,,,,,,,
,,,19-Nov,323,13:30,3:30,17:00,,,,,,,,,,
,,,20-Nov,324,20:15,4:15,0:30,,,,,,,,,,
,,,22-Nov,326,13:30,4:15,17:45,,,,,,,,,,
,,,22-Nov,326,17:25,3:05,20:30,,,,,,,,,,
,,,24-Nov,328,13:30,4:15,17:45,,,,,,,,,,
,,,24-Nov,328,17:25,3:05,20:30,,,,,,,,,,
,,,26-Nov,330,13:30,4:10,17:40,,,,,,,,,,
,,,26-Nov,330,17:20,3:10,20:30,,,,,,,,,,
,,,27-Nov,331,18:00,4:00,22:00,,,,,,,,,,
,,,29-Nov,333,13:30,4:10,17:40,,,,,,,,,,
,,,29-Nov,333,17:10,3:20,20:30,,,,,,,,,,
,,,01-Dec,335,13:30,4:10,17:40,,,,,,,,,,
,,,01-Dec,335,17:10,3:20,20:30,,,,,,,,,,
,,,03-Dec,337,13:30,3:50,17:20,,,,,,,,,,
,,,03-Dec,337,17:00,3:30,20:30,,,,,,,,,,
,,,05-Dec,339,6:15,4:00,10:15,,,,,,,,,,
,,,06-Dec,340,13:30,3:50,17:20,,,,,,,,,,
,,,06-Dec,340,16:55,3:35,20:30,,,,,,,,,,
,,,07-Dec,341,17:00,4:00,21:00,,,,,,,,,,
,,,08-Dec,342,13:30,4:30,18:00,,,,,,,,,,
,,,08-Dec,341,17:40,2:50,20:30,,,,,,,,,,
,,,10-Dec,344,13:30,4:20,17:50,,,,,,,,,,
,,,10-Dec,344,17:35,2:55,20:30,,,,,,,,,,
,,,13-Dec,347,5:20,5:40,11:00,,,,,,,,,,
,,,13-Dec,347,12:35,5:40,18:15,,,,,,,,,,
,,,13-Dec,347,17:55,7:05,1:00,,,,,,,,,,
,,,14-Dec,348,5:20,4:05,9:25,,,,,,,,,,
,,,14-Dec,348,12:35,8:25,21:00,,,,,,,,,,
,,,14-Dec,348,20:20,9:10,5:30,,,,,,,,,,
,,,15-Dec,349,5:25,7:45,13:10,,,,,,,,,,
,,,15-Dec,349,12:35,5:15,17:50,,,,,,,,,,
NIS Low Phase Flyby,,NIS,15-Dec,349,13:00,,,,,,,,,,,,done
,,NIS,15-Dec,349,13:09,0:14,13:23,,,19,,,0.02,0.0,99347,GLOBAL_MAP_50_IN,done
,,NIS,15-Dec,349,13:25,7:30,20:55,,,1707,,,1.96,0.0,99347,LAT_SCANS_50-45_IN,done
,,,15-Dec,349,17:00,3:45,20:45,,,,,,,,,,
,43,,15-Dec,349,17:00,7:15,0:15,,,,,,,,,,
,,NIS,15-Dec,349,20:59,0:15,21:14,,,36,,,0.04,0.0,99347,GLOBAL_MAP_45_IN,done
,,NIS,15-Dec,349,21:20,3:50,1:10,,,842,,,0.96,0.0,99347,LAT_SCANS_45-40_IN,done
,,NIS,16-Dec,350,1:15,0:50,2:05,,,1753,,,2.01,0.0,99347,FULL_NIXEL_TEST,done
,,NIS,16-Dec,350,2:10,0:15,2:25,,,49,,,0.06,0.0,99347,GLOBAL_MAP_40_IN,done
,,NIS,16-Dec,350,2:30,4:35,7:05,,,1820,,,2.08,0.0,99347,InGas_OPT_LAT_SCAN_40-30_IN,done
,,,16-Dec,350,5:25,4:00,9:25,,,,,,,,,,
,,NIS,16-Dec,350,7:10,0:30,7:40,,,90,,,0.10,0.0,99347,GLOBAL_MAP_30_IN,done
,,NIS,16-Dec,350,7:45,1:00,8:45,,,400,,,0.46,0.0,99347,InGas_OPT_LAT_SCAN_30-20_IN,done
,,NIS,16-Dec,350,8:50,2:38,11:28,,,500,,,0.57,0.0,99347,GLOBAL_MPPS_IN,done
,,NIS,16-Dec,350,11:31,0:55,12:26,,,228,,,0.26,0.0,99347,LOW_PHASE_MPPS,done
,,NIS,16-Dec,350,12:30,1:32,14:02,,,422,,,0.48,0.0,99347,GLOBALS_OUT,done
,,,16-Dec,350,12:35,5:40,18:15,,,,,,,,,,
,,NIS,16-Dec,350,14:05,0:48,14:53,,,166,,,0.19,0.0,99347,LAT_SCANS_OUT,done
End of NIS Low Phase Flyby,,NIS,16-Dec,350,14:56,,,,,,,,,,,,done
,14&25,,16-Dec,350,15:30,2:15,17:45,,,8032,,,18.40,0.32,,mock LPF,
,,,16-Dec,350,17:55,7:20,1:15,,,,,,,,,,
,,,17-Dec,351,5:25,3:55,9:20,,,,,,,,,,
,,,17-Dec,351,12:35,5:25,18:00,,,,,,,,,,
,,,17-Dec,351,13:30,2:15,15:45,,,,,,,,,,
,,,17-Dec,351,20:15,9:20,5:35,,,,,,,,,,
NLR MSI alignment test,,NLR,17-Dec,351,16:00,0:05,16:05,,12,16,7,2.5,9.92,0.2,99347,"MSI_NLR_align_test: 4 images taken 1 sec apart in 4 sets. Timed to occur before, during and after 2 8 hz bursts.",done
,,,18-Dec,352,5:25,7:05,12:30,,,,,,,,,,
,,,18-Dec,352,12:35,8:15,20:50,,,,,,,,,,
,,,18-Dec,352,20:10,9:25,5:35,,,,,,,,,,
Opnav D test,,NAV,19-Dec,353,0:00,0:11,0:11,F,12,4,0,1.3,9.54,0.2,99347,OPDt1:2x2 mosaic,done
Opnav F test,,NAV,19-Dec,353,0:15,0:15,0:30,F,12,6,0,1.3,14.31,0.3,99347,OPFt1:2x3 mosaic,done
Opnav G test,,NAV,19-Dec,353,0:32,0:15,0:47,F,12,6,0,1.3,14.31,0.3,99347,OPGt1: 3x2 mosaic ,done
Opnav H test,,NAV,19-Dec,353,0:50,0:17,1:07,F,12,9,0,1.3,21.46,0.4,99347,OPHt1: 3x3 mosaic,done
Opnav I test,,NAV,19-Dec,353,1:11,0:11,1:22,F,12,2,0,1.3,4.77,0.1,99347,OPIt1: 1x2 mosaic,done
Opnav J test,,NAV,19-Dec,353,1:24,0:10,1:34,F,12,2,0,1.3,4.77,0.1,99347,OPJt1: 2x1 mosaic,done
Opnav K 3x2 test,,NAV,19-Dec,353,1:37,0:17,1:54,F,12,6,0,1.3,14.31,0.3,99347,3x2 mosaic,done
Opnav K 2x3 test,,NAV,19-Dec,353,1:57,0:17,2:14,F,12,6,0,1.3,14.31,0.3,99347,2x3 mosaic,done
Opnav K 2x2 test,,NAV,19-Dec,353,2:17,0:17,2:34,F,12,4,0,1.3,9.54,0.2,99347,2x2 mosaic,done
,,,19-Dec,353,5:10,7:55,13:05,,,,,,,,,,
,,,19-Dec,353,12:35,8:15,20:50,,,,,,,,,,
,,,19-Dec,353,21:45,3:45,1:30,,,,,,,,,,
Multispectral Rotation Seq.,,MSI,19-Dec,353,21:00,11:24,8:24,,8,780,5,4,302.21,5.3,99347,(TABLE5+FAST),done
,,,,,,,,,12,40,0-7,2.5,24.80,0.4,99347,"MSI_MSRot_1: one filter 5 image every 1/2 deg of rot., 7 additional filters every 10 deg for 1.1 Eros rotation each.  Auto exp. (FAST) *EROS = 2 pixels",done
,,,20-Dec,354,5:25,3:50,9:15,,,,,,,,,,
,,,20-Dec,354,12:35,3:50,16:25,,,,,,,,,,
,,,20-Dec,354,16:25,3:00,19:25,,,,,,,,,,
,43,,20-Dec,354,16:25,13:10,5:35,,,,,,,,,,
,,,20-Dec,354,19:05,10:35,5:40,,,,,,,,,,
,,,21-Dec,355,9:55,3:00,12:55,,,,,,,,,,
,,,21-Dec,355,12:40,8:05,20:45,,,,,,,,,,
,43,,21-Dec,355,17:00,5:30,22:30,,,,,,,,,,
,,,21-Dec,355,20:05,9:30,5:35,,,,,,,,,,
,,,22-Dec,356,5:25,3:35,9:00,,,,,,,,,,
,,,22-Dec,356,8:40,4:15,12:55,,,,,,,,,,
,,,22-Dec,356,12:40,5:20,18:00,,,,,,,,,,
,,,22-Dec,356,20:05,8:40,4:45,,,,,,,,,,
,,,23-Dec,357,5:30,7:20,12:50,,,,,,,,,,
,,,23-Dec,357,12:40,4:55,17:35,,,,,,,,,,
,,,23-Dec,357,17:20,12:15,5:35,,,,,,,,,,
,,,24-Dec,358,5:30,5:50,11:20,,,,,,,,,,
,,,24-Dec,358,12:40,8:00,20:40,,,,,,,,,,
,,,26-Dec,360,12:40,5:00,17:40,,,,,,,,,,
,,,26-Dec,360,20:00,9:35,5:35,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
